question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_name,candidate_party,pct
127667,68160,2020,,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,1860,lv,lv,Online,U.S. President,0,,8/19/2020,8/20/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/22/2020 8:52,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-august-20/,general,6210,Biden,Joseph R. Biden Jr.,DEM,49
127667,68160,2020,,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,1860,lv,lv,Online,U.S. President,0,,8/19/2020,8/20/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/22/2020 8:52,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-august-20/,general,6210,Trump,Donald Trump,REP,39
127667,68160,2020,,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,1860,lv,lv,Online,U.S. President,0,,8/19/2020,8/20/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/22/2020 8:52,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-august-20/,general,6210,Jorgensen,Jo Jorgensen,LIB,1
127667,68160,2020,,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,1860,lv,lv,Online,U.S. President,0,,8/19/2020,8/20/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/22/2020 8:52,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-august-20/,general,6210,Hawkins,Howie Hawkins,GRE,1
127659,68158,2020,Wisconsin,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,672,lv,lv,Online,U.S. President,0,,8/16/2020,8/19/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/21/2020 19:00,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-19-august/,general,6259,Biden,Joseph R. Biden Jr.,DEM,49
127659,68158,2020,Wisconsin,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,672,lv,lv,Online,U.S. President,0,,8/16/2020,8/19/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/21/2020 19:00,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-19-august/,general,6259,Trump,Donald Trump,REP,39
127659,68158,2020,Wisconsin,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,672,lv,lv,Online,U.S. President,0,,8/16/2020,8/19/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/21/2020 19:00,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-19-august/,general,6259,Jorgensen,Jo Jorgensen,LIB,1
127659,68158,2020,Wisconsin,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,672,lv,lv,Online,U.S. President,0,,8/16/2020,8/19/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/21/2020 19:00,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-19-august/,general,6259,Hawkins,Howie Hawkins,GRE,1
127659,68158,2020,Wisconsin,1562,Redfield & Wilton Strategies,,,Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,,672,lv,lv,Online,U.S. President,0,,8/16/2020,8/19/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/21/2020 19:00,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-16-19-august/,general,6259,West,Kanye West,IND,1
127597,68120,2020,,568,YouGov,352,Economist,YouGov,391,YouGov,B,1246,rv,rv,Online,U.S. President,0,,8/16/2020,8/18/2020,11/3/2020,,FALSE,,,FALSE,FALSE,8/19/2020 10:06,,https://docs.cdn.yougov.com/c6n58wb53l/econTabReport.pdf,general,6210,Biden,Joseph R. Biden Jr.,DEM,50
